tenant_ID,CCCD,name,phone,age
27
T.001,123456789,Ba,0999999991,19
T.002,987654321,An,0999999992,19
T.003,456123789,Hieu,0999999993,19
T.004,111222333,Hoa,0999999994,20
T.005,222333444,Linh,0999999995,21
T.006,333444555,Minh,0999999996,22
T.007,444555666,Phuong,0999999997,23
T.008,555666777,Tuan,0999999998,24
T.009,666777888,Hanh,0999999999,25
T.010,777888999,Thao,0999999990,26
T.011,888999111,Duc,0888888881,27
T.012,999111222,Lan,0888888882,28
T.013,123321456,Son,0888888883,29
T.014,456789123,Thinh,0888888884,30
T.015,789123456,Van,0888888885,31
T.027,1,tr,1,19
